,visit_date,visitors,missing,visit_day_name,fitted,forecast,95_lower,95_upper
0,2016-12-23,75.0,0.0,Friday,,,,
1,2016-12-24,88.0,0.0,Saturday,,,,
2,2016-12-25,65.0,0.0,Sunday,,,,
3,2016-12-26,37.0,0.0,Monday,,,,
4,2016-12-27,38.0,0.0,Tuesday,,,,
5,2016-12-28,31.0,0.0,Wednesday,,,,
6,2016-12-29,78.0,0.0,Thursday,,,,
7,2016-12-30,75.0,0.0,Friday,,,,
8,2016-12-31,80.0,0.0,Saturday,,,,
9,2017-01-01,52.0,0.0,Sunday,,,,
10,2017-01-02,46.0,0.0,Monday,,,,
11,2017-01-03,39.0,0.0,Tuesday,,,,
12,2017-01-04,23.0,0.0,Wednesday,,,,
13,2017-01-05,14.0,0.0,Thursday,,,,
14,2017-01-06,16.0,0.0,Friday,,,,
15,2017-01-07,85.0,0.0,Saturday,,,,
16,2017-01-08,52.0,0.0,Sunday,,,,
17,2017-01-09,9.0,0.0,Monday,,,,
18,2017-01-10,12.0,0.0,Tuesday,,,,
19,2017-01-11,19.0,0.0,Wednesday,,,,
20,2017-01-12,21.0,0.0,Thursday,,,,
21,2017-01-13,30.0,0.0,Friday,,,,
22,2017-01-14,84.0,0.0,Saturday,,,,
23,2017-01-15,46.0,0.0,Sunday,,,,
24,2017-01-16,8.0,0.0,Monday,,,,
25,2017-01-17,38.0,0.0,Tuesday,,,,
26,2017-01-18,37.0,0.0,Wednesday,,,,
27,2017-01-19,23.0,0.0,Thursday,,,,
28,2017-01-20,36.0,0.0,Friday,,,,
29,2017-01-21,63.0,0.0,Saturday,,,,
30,2017-01-22,38.0,0.0,Sunday,,,,
31,2017-01-23,25.0,0.0,Monday,,,,
32,2017-01-24,17.0,0.0,Tuesday,,,,
33,2017-01-25,35.0,0.0,Wednesday,,,,
34,2017-01-26,33.0,0.0,Thursday,,,,
35,2017-01-27,56.0,0.0,Friday,,,,
36,2017-01-28,78.0,0.0,Saturday,,,,
37,2017-01-29,58.0,0.0,Sunday,,,,
38,2017-01-30,31.0,0.0,Monday,,,,
