,visit_date,visitors,missing,visit_day_name,fitted,forecast,95_lower,95_upper
0,2016-12-19,20.0,0.0,Monday,,,,
1,2016-12-20,20.0,0.0,Tuesday,,,,
2,2016-12-21,26.0,0.0,Wednesday,,,,
3,2016-12-22,44.0,0.0,Thursday,,,,
4,2016-12-23,8.0,0.0,Friday,,,,
5,2016-12-26,26.75,1.0,Monday,,,,
6,2016-12-27,33.0,0.0,Tuesday,,,,
7,2016-12-28,45.0,0.0,Wednesday,,,,
8,2016-12-29,28.0,0.0,Thursday,,,,
9,2016-12-30,13.0,0.0,Friday,,,,
10,2017-01-02,22.5,1.0,Monday,,,,
11,2017-01-03,25.666666666666668,1.0,Tuesday,,,,
12,2017-01-04,28.833333333333336,1.0,Wednesday,,,,
13,2017-01-05,32.0,0.0,Thursday,,,,
14,2017-01-06,9.0,0.0,Friday,,,,
15,2017-01-09,24.75,1.0,Monday,,,,
16,2017-01-10,30.0,0.0,Tuesday,,,,
17,2017-01-11,17.0,0.0,Wednesday,,,,
18,2017-01-12,9.0,0.0,Thursday,,,,
19,2017-01-13,40.0,0.0,Friday,,,,
20,2017-01-16,25.0,0.0,Monday,,,,
21,2017-01-17,40.0,0.0,Tuesday,,,,
22,2017-01-18,40.0,0.0,Wednesday,,,,
23,2017-01-19,22.0,0.0,Thursday,,,,
24,2017-01-20,32.0,0.0,Friday,,,,
25,2017-01-23,29.0,0.0,Monday,,,,
26,2017-01-24,25.0,0.0,Tuesday,,,,
27,2017-01-25,19.0,0.0,Wednesday,,,,
28,2017-01-26,28.0,0.0,Thursday,,,,
29,2017-01-27,25.0,0.0,Friday,,,,
30,2017-01-30,12.0,0.0,Monday,,,,
31,2017-01-31,30.0,0.0,Tuesday,,,,
32,2017-02-01,28.0,0.0,Wednesday,,,,
33,2017-02-02,7.0,0.0,Thursday,,,,
34,2017-02-03,40.0,0.0,Friday,,,,
35,2017-02-06,35.0,0.0,Monday,,,,
36,2017-02-07,24.0,0.0,Tuesday,,,,
37,2017-02-08,34.0,0.0,Wednesday,,,,
38,2017-02-09,24.0,0.0,Thursday,,,,
39,2017-02-10,17.0,0.0,Friday,,,,
40,2017-02-13,34.0,0.0,Monday,,,,
41,2017-02-14,16.0,0.0,Tuesday,,,,
42,2017-02-15,36.0,0.0,Wednesday,,,,
43,2017-02-16,30.0,0.0,Thursday,,,,
44,2017-02-17,32.0,0.0,Friday,,,,
45,2017-02-20,10.0,0.0,Monday,,,,
46,2017-02-21,31.0,0.0,Tuesday,,,,
47,2017-02-22,27.0,0.0,Wednesday,,,,
48,2017-02-23,24.0,0.0,Thursday,,,,
49,2017-02-24,30.0,0.0,Friday,,,,
50,2017-02-27,23.0,0.0,Monday,,,,
51,2017-02-28,35.0,0.0,Tuesday,,,,
52,2017-03-01,20.0,0.0,Wednesday,,,,
53,2017-03-02,28.0,0.0,Thursday,,,,
54,2017-03-03,48.0,0.0,Friday,,,,
55,2017-03-06,32.0,0.0,Monday,,,,
56,2017-03-07,43.0,0.0,Tuesday,,,,
57,2017-03-08,28.0,0.0,Wednesday,,,,
58,2017-03-09,33.0,0.0,Thursday,,,,
59,2017-03-10,44.0,0.0,Friday,,,,
60,2017-03-13,22.0,0.0,Monday,,,,
61,2017-03-14,26.0,0.0,Tuesday,,,,
62,2017-03-15,36.0,0.0,Wednesday,,,,
63,2017-03-16,13.0,0.0,Thursday,,,,
64,2017-03-17,36.0,0.0,Friday,,,,
65,2017-03-20,27.0,1.0,Monday,,,,
66,2017-03-21,24.0,0.0,Tuesday,0.0,,,
67,2017-03-22,18.0,0.0,Wednesday,30.1305246202441,,,
68,2017-03-23,44.0,0.0,Thursday,30.1305246202441,,,
69,2017-03-24,43.0,0.0,Friday,30.1305246202441,,,
70,2017-03-27,18.0,0.0,Monday,30.1305246202441,,,
71,2017-03-28,18.0,0.0,Tuesday,30.1305246202441,,,
72,2017-03-29,32.0,0.0,Wednesday,30.1305246202441,,,
73,2017-03-30,30.0,0.0,Thursday,30.1305246202441,,,
74,2017-03-31,31.0,0.0,Friday,30.1305246202441,,,
75,2017-04-03,28.0,0.0,Monday,30.1305246202441,,,
76,2017-04-04,30.0,0.0,Tuesday,30.1305246202441,,,
77,2017-04-05,30.0,0.0,Wednesday,30.1305246202441,,,
78,2017-04-06,21.0,0.0,Thursday,30.1305246202441,,,
79,2017-04-07,45.0,0.0,Friday,30.1305246202441,,,
80,2017-04-10,32.0,0.0,Monday,30.1305246202441,,,
81,2017-04-11,20.0,0.0,Tuesday,30.1305246202441,,,
82,2017-04-12,22.0,0.0,Wednesday,30.1305246202441,,,
83,2017-04-13,43.0,0.0,Thursday,30.1305246202441,,,
84,2017-04-14,23.0,0.0,Friday,30.1305246202441,,,
85,2017-04-17,40.0,0.0,Monday,30.1305246202441,,,
86,2017-04-18,23.0,0.0,Tuesday,30.1305246202441,,,
87,2017-04-19,32.0,0.0,Wednesday,30.1305246202441,,,
88,2017-04-20,33.0,0.0,Thursday,30.1305246202441,,,
89,2017-04-21,37.0,0.0,Friday,30.1305246202441,,,
90,2017-04-24,,,Monday,,30.1305246202441,13.237748376005069,47.02330086448313
91,2017-04-25,,,Tuesday,,30.1305246202441,13.237748376005069,47.02330086448313
92,2017-04-26,,,Wednesday,,30.1305246202441,13.237748376005069,47.02330086448313
93,2017-04-27,,,Thursday,,30.1305246202441,13.237748376005069,47.02330086448313
94,2017-04-28,,,Friday,,30.1305246202441,13.237748376005069,47.02330086448313
95,2017-05-01,,,Monday,,30.1305246202441,13.237748376005069,47.02330086448313
96,2017-05-02,,,Tuesday,,30.1305246202441,13.237748376005069,47.02330086448313
97,2017-05-03,,,Wednesday,,30.1305246202441,13.237748376005069,47.02330086448313
98,2017-05-04,,,Thursday,,30.1305246202441,13.237748376005069,47.02330086448313
99,2017-05-05,,,Friday,,30.1305246202441,13.237748376005069,47.02330086448313
100,2017-05-08,,,Monday,,30.1305246202441,13.237748376005069,47.02330086448313
101,2017-05-09,,,Tuesday,,30.1305246202441,13.237748376005069,47.02330086448313
102,2017-05-10,,,Wednesday,,30.1305246202441,13.237748376005069,47.02330086448313
103,2017-05-11,,,Thursday,,30.1305246202441,13.237748376005069,47.02330086448313
104,2017-05-12,,,Friday,,30.1305246202441,13.237748376005069,47.02330086448313
105,2017-05-15,,,Monday,,30.1305246202441,13.237748376005069,47.02330086448313
106,2017-05-16,,,Tuesday,,30.1305246202441,13.237748376005069,47.02330086448313
107,2017-05-17,,,Wednesday,,30.1305246202441,13.237748376005069,47.02330086448313
108,2017-05-18,,,Thursday,,30.1305246202441,13.237748376005069,47.02330086448313
109,2017-05-19,,,Friday,,30.1305246202441,13.237748376005069,47.02330086448313
