,visit_date,visitors,missing,visit_day_name,fitted,forecast,95_lower,95_upper
0,2016-08-16,17.0,0.0,Tuesday,,,,
1,2016-08-17,15.5,1.0,Wednesday,,,,
2,2016-08-18,14.0,0.0,Thursday,,,,
3,2016-08-19,18.0,0.0,Friday,,,,
4,2016-08-20,24.0,0.0,Saturday,,,,
5,2016-08-21,4.0,0.0,Sunday,,,,
6,2016-08-22,4.0,0.0,Monday,,,,
7,2016-08-23,17.0,0.0,Tuesday,,,,
8,2016-08-24,8.0,0.0,Wednesday,,,,
9,2016-08-25,9.0,0.0,Thursday,,,,
10,2016-08-26,10.0,0.0,Friday,,,,
11,2016-08-27,12.0,0.0,Saturday,,,,
12,2016-08-28,15.0,0.0,Sunday,,,,
13,2016-08-29,8.0,0.0,Monday,,,,
14,2016-08-30,13.0,0.0,Tuesday,,,,
15,2016-08-31,18.0,0.0,Wednesday,,,,
16,2016-09-01,8.0,0.0,Thursday,,,,
17,2016-09-02,8.0,0.0,Friday,,,,
18,2016-09-03,19.0,0.0,Saturday,,,,
19,2016-09-04,12.0,0.0,Sunday,,,,
20,2016-09-05,19.0,0.0,Monday,,,,
21,2016-09-06,6.0,0.0,Tuesday,,,,
22,2016-09-07,20.0,0.0,Wednesday,,,,
23,2016-09-08,13.0,0.0,Thursday,,,,
24,2016-09-09,66.0,0.0,Friday,,,,
25,2016-09-10,16.0,0.0,Saturday,,,,
26,2016-09-11,4.0,0.0,Sunday,,,,
27,2016-09-12,15.0,0.0,Monday,,,,
28,2016-09-13,13.0,0.0,Tuesday,,,,
29,2016-09-14,7.0,0.0,Wednesday,,,,
30,2016-09-15,18.0,0.0,Thursday,,,,
31,2016-09-16,21.0,0.0,Friday,,,,
32,2016-09-17,19.0,0.0,Saturday,,,,
33,2016-09-18,8.0,0.0,Sunday,,,,
34,2016-09-19,9.0,0.0,Monday,,,,
35,2016-09-20,1.0,0.0,Tuesday,,,,
36,2016-09-21,13.0,0.0,Wednesday,,,,
37,2016-09-22,11.0,0.0,Thursday,,,,
38,2016-09-23,10.0,0.0,Friday,,,,
39,2016-09-24,22.0,0.0,Saturday,,,,
40,2016-09-25,9.0,0.0,Sunday,,,,
41,2016-09-26,10.0,0.0,Monday,,,,
42,2016-09-27,8.0,0.0,Tuesday,,,,
43,2016-09-28,6.0,0.0,Wednesday,,,,
44,2016-09-29,8.0,0.0,Thursday,,,,
45,2016-09-30,18.0,0.0,Friday,,,,
46,2016-10-01,10.0,0.0,Saturday,,,,
47,2016-10-02,8.0,0.0,Sunday,,,,
48,2016-10-03,10.0,0.0,Monday,,,,
49,2016-10-04,4.0,0.0,Tuesday,,,,
50,2016-10-05,13.0,0.0,Wednesday,,,,
51,2016-10-06,14.0,0.0,Thursday,,,,
52,2016-10-07,13.0,0.0,Friday,,,,
53,2016-10-08,14.0,0.0,Saturday,,,,
54,2016-10-09,10.0,0.0,Sunday,,,,
55,2016-10-10,9.0,0.0,Monday,,,,
56,2016-10-11,9.0,0.0,Tuesday,,,,
57,2016-10-12,13.0,0.0,Wednesday,,,,
58,2016-10-13,7.0,0.0,Thursday,,,,
59,2016-10-14,9.0,0.0,Friday,,,,
60,2016-10-15,21.0,0.0,Saturday,,,,
61,2016-10-16,11.0,0.0,Sunday,,,,
62,2016-10-17,9.0,0.0,Monday,,,,
63,2016-10-18,5.0,0.0,Tuesday,,,,
64,2016-10-19,13.0,0.0,Wednesday,,,,
65,2016-10-20,16.0,0.0,Thursday,,,,
66,2016-10-21,19.0,0.0,Friday,,,,
67,2016-10-22,16.0,0.0,Saturday,,,,
68,2016-10-23,10.0,0.0,Sunday,,,,
69,2016-10-24,12.0,0.0,Monday,,,,
70,2016-10-25,16.0,0.0,Tuesday,,,,
71,2016-10-26,16.0,0.0,Wednesday,,,,
72,2016-10-27,10.0,0.0,Thursday,,,,
73,2016-10-28,7.0,0.0,Friday,,,,
74,2016-10-29,18.0,0.0,Saturday,,,,
75,2016-10-30,13.0,0.0,Sunday,,,,
76,2016-10-31,10.0,0.0,Monday,,,,
77,2016-11-01,15.0,0.0,Tuesday,,,,
78,2016-11-02,7.0,0.0,Wednesday,,,,
79,2016-11-03,8.0,0.0,Thursday,,,,
80,2016-11-04,17.0,0.0,Friday,,,,
81,2016-11-05,22.0,0.0,Saturday,,,,
82,2016-11-06,10.0,0.0,Sunday,,,,
83,2016-11-07,11.0,0.0,Monday,,,,
84,2016-11-08,3.0,0.0,Tuesday,,,,
85,2016-11-09,12.0,0.0,Wednesday,,,,
86,2016-11-10,18.0,0.0,Thursday,,,,
87,2016-11-11,16.0,0.0,Friday,,,,
88,2016-11-12,11.0,0.0,Saturday,,,,
89,2016-11-13,13.0,0.0,Sunday,,,,
90,2016-11-14,6.0,0.0,Monday,,,,
91,2016-11-15,7.0,0.0,Tuesday,,,,
92,2016-11-16,20.0,0.0,Wednesday,,,,
93,2016-11-17,11.0,0.0,Thursday,,,,
94,2016-11-18,18.0,0.0,Friday,,,,
95,2016-11-19,12.0,0.0,Saturday,,,,
96,2016-11-20,11.0,0.0,Sunday,,,,
97,2016-11-21,10.0,0.0,Monday,,,,
98,2016-11-22,9.0,0.0,Tuesday,,,,
99,2016-11-23,16.0,0.0,Wednesday,,,,
100,2016-11-24,5.0,0.0,Thursday,,,,
101,2016-11-25,16.0,0.0,Friday,,,,
102,2016-11-26,11.0,0.0,Saturday,,,,
103,2016-11-27,11.0,0.0,Sunday,,,,
104,2016-11-28,10.0,0.0,Monday,,,,
105,2016-11-29,9.0,0.0,Tuesday,,,,
106,2016-11-30,7.0,0.0,Wednesday,,,,
107,2016-12-01,10.0,0.0,Thursday,,,,
108,2016-12-02,20.0,0.0,Friday,,,,
109,2016-12-03,9.0,0.0,Saturday,,,,
110,2016-12-04,7.0,0.0,Sunday,,,,
111,2016-12-05,7.0,0.0,Monday,,,,
112,2016-12-06,12.0,0.0,Tuesday,,,,
113,2016-12-07,6.0,0.0,Wednesday,,,,
114,2016-12-08,19.0,0.0,Thursday,,,,
115,2016-12-09,17.0,0.0,Friday,,,,
116,2016-12-10,10.0,0.0,Saturday,,,,
117,2016-12-11,10.0,0.0,Sunday,,,,
118,2016-12-12,9.0,0.0,Monday,0.0,,,
119,2016-12-13,12.0,0.0,Tuesday,-1.499987060977752,,,
120,2016-12-14,23.0,0.0,Wednesday,-4.197770940549539,,,
121,2016-12-15,8.0,0.0,Thursday,-10.980534573844986,,,
122,2016-12-16,10.0,0.0,Friday,-17.29905527850664,,,
123,2016-12-17,13.0,0.0,Saturday,-30.90723191619229,,,
124,2016-12-18,17.0,0.0,Sunday,-74.53527480129671,,,
125,2016-12-19,20.0,0.0,Monday,30.360981389943287,,,
126,2016-12-20,15.0,0.0,Tuesday,12.741302780302028,,,
127,2016-12-21,23.0,0.0,Wednesday,17.3287411783366,,,
128,2016-12-22,21.0,0.0,Thursday,-5.425448457477284,,,
129,2016-12-23,9.0,0.0,Friday,18.17292098666039,,,
130,2016-12-24,21.0,0.0,Saturday,3.5744698056529467,,,
131,2016-12-25,25.0,1.0,Sunday,21.963898008433617,,,
132,2016-12-26,29.0,0.0,Monday,26.349588391105062,,,
133,2016-12-27,31.0,0.0,Tuesday,23.67267952612466,,,
134,2016-12-28,42.0,0.0,Wednesday,40.647106721244946,,,
135,2016-12-29,33.0,0.0,Thursday,42.36404772089721,,,
