,visit_date,visitors,missing,visit_day_name,fitted,forecast,95_lower,95_upper
0,2016-05-04,12.0,1.0,Wednesday,,,,
1,2016-05-05,12.0,1.0,Thursday,,,,
2,2016-05-06,12.0,0.0,Friday,,,,
3,2016-05-09,14.0,0.0,Monday,,,,
4,2016-05-10,10.0,0.0,Tuesday,,,,
5,2016-05-11,4.0,0.0,Wednesday,,,,
6,2016-05-12,5.0,0.0,Thursday,,,,
7,2016-05-13,8.0,0.0,Friday,,,,
8,2016-05-16,5.0,0.0,Monday,,,,
9,2016-05-17,8.0,0.0,Tuesday,,,,
10,2016-05-18,8.0,0.0,Wednesday,,,,
11,2016-05-19,5.0,0.0,Thursday,,,,
12,2016-05-20,7.0,0.0,Friday,,,,
13,2016-05-23,5.0,0.0,Monday,,,,
14,2016-05-24,7.0,0.0,Tuesday,,,,
15,2016-05-25,10.0,0.0,Wednesday,,,,
16,2016-05-26,5.0,0.0,Thursday,,,,
17,2016-05-27,8.0,0.0,Friday,,,,
18,2016-05-30,3.0,0.0,Monday,,,,
19,2016-05-31,6.0,0.0,Tuesday,,,,
20,2016-06-01,6.0,0.0,Wednesday,,,,
21,2016-06-02,9.0,0.0,Thursday,,,,
22,2016-06-03,8.0,0.0,Friday,,,,
23,2016-06-06,7.0,0.0,Monday,,,,
24,2016-06-07,6.0,0.0,Tuesday,,,,
25,2016-06-08,6.0,0.0,Wednesday,,,,
26,2016-06-09,9.0,0.0,Thursday,,,,
27,2016-06-10,7.0,0.0,Friday,,,,
28,2016-06-13,6.0,0.0,Monday,,,,
29,2016-06-14,5.0,0.0,Tuesday,,,,
30,2016-06-15,6.0,0.0,Wednesday,,,,
31,2016-06-16,2.0,0.0,Thursday,,,,
32,2016-06-17,8.0,0.0,Friday,,,,
33,2016-06-20,8.0,0.0,Monday,,,,
34,2016-06-21,6.0,0.0,Tuesday,,,,
35,2016-06-22,8.0,0.0,Wednesday,,,,
36,2016-06-23,5.0,0.0,Thursday,,,,
37,2016-06-24,8.0,0.0,Friday,,,,
38,2016-06-27,4.0,0.0,Monday,,,,
39,2016-06-28,3.0,0.0,Tuesday,,,,
40,2016-06-29,9.0,0.0,Wednesday,,,,
41,2016-06-30,9.0,0.0,Thursday,,,,
42,2016-07-01,7.0,0.0,Friday,,,,
43,2016-07-04,5.0,0.0,Monday,,,,
44,2016-07-05,6.0,0.0,Tuesday,,,,
45,2016-07-06,7.0,0.0,Wednesday,,,,
46,2016-07-07,5.0,0.0,Thursday,,,,
47,2016-07-08,7.0,0.0,Friday,,,,
48,2016-07-11,7.0,0.0,Monday,,,,
49,2016-07-12,5.0,0.0,Tuesday,,,,
50,2016-07-13,8.0,0.0,Wednesday,,,,
51,2016-07-14,9.0,0.0,Thursday,,,,
52,2016-07-15,8.0,0.0,Friday,,,,
53,2016-07-18,5.75,1.0,Monday,,,,
54,2016-07-19,5.0,0.0,Tuesday,,,,
55,2016-07-20,6.0,0.0,Wednesday,,,,
56,2016-07-21,9.0,0.0,Thursday,,,,
57,2016-07-22,9.0,0.0,Friday,,,,
58,2016-07-25,4.0,0.0,Monday,,,,
59,2016-07-26,10.0,0.0,Tuesday,,,,
60,2016-07-27,6.0,0.0,Wednesday,,,,
61,2016-07-28,10.0,0.0,Thursday,0.0,,,
62,2016-07-29,9.0,0.0,Friday,-2.499983407753931,,,
63,2016-08-01,7.0,0.0,Monday,-6.331223097996459,,,
64,2016-08-02,9.0,0.0,Tuesday,-12.992582226658133,,,
65,2016-08-03,10.0,0.0,Wednesday,-34.95555970582932,,,
66,2016-08-04,6.0,0.0,Thursday,22.925557119921876,,,
67,2016-08-05,7.0,0.0,Friday,-9.473379749145362,,,
68,2016-08-08,7.0,0.0,Monday,-2.0103734010176657,,,
69,2016-08-09,7.0,0.0,Tuesday,5.152544810072068,,,
70,2016-08-10,10.0,0.0,Wednesday,9.953363424493308,,,
71,2016-08-11,9.5,1.0,Thursday,7.011920767488864,,,
72,2016-08-12,9.0,0.0,Friday,7.358003483196842,,,
73,2016-08-15,5.4,1.0,Monday,7.754494213122153,,,
74,2016-08-16,4.2,1.0,Tuesday,7.178219044325752,,,
75,2016-08-17,3.0,0.0,Wednesday,9.275450953889562,,,
76,2016-08-18,3.0,0.0,Thursday,5.289358551809575,,,
77,2016-08-19,9.0,0.0,Friday,4.376577069553481,,,
78,2016-08-22,4.0,0.0,Monday,5.146002065823746,,,
79,2016-08-23,12.0,0.0,Tuesday,3.875037997720443,,,
80,2016-08-24,10.0,0.0,Wednesday,7.157868529985942,,,
81,2016-08-25,9.0,0.0,Thursday,7.845404420712785,,,
82,2016-08-26,7.0,0.0,Friday,10.11812733173727,,,
83,2016-08-29,5.0,0.0,Monday,5.39720328646842,,,
84,2016-08-30,11.0,0.0,Tuesday,7.992237691490216,,,
85,2016-08-31,8.0,0.0,Wednesday,9.09610287066687,,,
86,2016-09-01,6.0,0.0,Thursday,7.491407309151722,,,
87,2016-09-02,4.0,0.0,Friday,7.862975626327284,,,
88,2016-09-05,5.0,0.0,Monday,3.9051872562574617,,,
89,2016-09-06,9.0,0.0,Tuesday,8.424297335536926,,,
90,2016-09-07,6.0,0.0,Wednesday,7.526401049545271,,,
91,2016-09-08,6.0,0.0,Thursday,5.875543551731201,,,
92,2016-09-09,7.0,0.0,Friday,6.3869135665356,,,
93,2016-09-12,7.0,0.0,Monday,4.8168153240713005,,,
94,2016-09-13,6.0,0.0,Tuesday,9.276267290114875,,,
95,2016-09-14,7.0,0.0,Wednesday,6.437468441288833,,,
96,2016-09-15,10.0,0.0,Thursday,6.061357269475758,,,
97,2016-09-16,12.0,0.0,Friday,7.968574217688392,,,
98,2016-09-19,8.25,1.0,Monday,8.564495237007986,,,
99,2016-09-20,7.0,0.0,Tuesday,10.160217810577011,,,
100,2016-09-21,5.0,0.0,Wednesday,7.581682512144205,,,
101,2016-09-22,8.0,1.0,Thursday,6.54901487475885,,,
102,2016-09-23,11.0,0.0,Friday,8.35784593369152,,,
103,2016-09-26,15.0,0.0,Monday,7.8380478644059846,,,
104,2016-09-27,11.0,0.0,Tuesday,14.82023107143775,,,
105,2016-09-28,5.0,0.0,Wednesday,9.760179148176842,,,
106,2016-09-29,7.0,0.0,Thursday,7.38994740509836,,,
107,2016-09-30,10.0,0.0,Friday,8.836548918615447,,,
108,2016-10-03,7.0,0.0,Monday,8.739010106314621,,,
109,2016-10-04,8.0,0.0,Tuesday,8.73433885037039,,,
110,2016-10-05,11.0,0.0,Wednesday,6.806477269921372,,,
111,2016-10-06,11.0,0.0,Thursday,9.751782500704781,,,
112,2016-10-07,13.0,0.0,Friday,11.158616385281766,,,
113,2016-10-10,7.0,1.0,Monday,10.69788441823625,,,
114,2016-10-11,5.0,0.0,Tuesday,9.086116843301408,,,
115,2016-10-12,8.0,0.0,Wednesday,6.234291571839702,,,
116,2016-10-13,8.0,0.0,Thursday,8.434543867096039,,,
117,2016-10-14,16.0,0.0,Friday,9.525561351653343,,,
118,2016-10-17,6.0,0.0,Monday,11.288473622263018,,,
119,2016-10-18,6.0,0.0,Tuesday,8.256655051128998,,,
120,2016-10-19,7.0,0.0,Wednesday,7.098776861422451,,,
121,2016-10-20,10.0,0.0,Thursday,7.928206406279315,,,
122,2016-10-21,11.0,0.0,Friday,10.8938145929083,,,
123,2016-10-24,5.0,0.0,Monday,7.7889278688640164,,,
124,2016-10-25,7.0,0.0,Tuesday,7.339734997651442,,,
125,2016-10-26,9.0,0.0,Wednesday,7.085625647242383,,,
126,2016-10-27,8.0,0.0,Thursday,8.659604306161615,,,
127,2016-10-28,13.0,0.0,Friday,10.20098734021674,,,
128,2016-10-31,5.0,0.0,Monday,8.01851549410944,,,
129,2016-11-01,8.0,0.0,Tuesday,7.475281838487935,,,
130,2016-11-02,19.0,0.0,Wednesday,7.608753519748031,,,
131,2016-11-03,17.5,1.0,Thursday,12.808283958645097,,,
132,2016-11-04,16.0,0.0,Friday,16.930601859164767,,,
133,2016-11-07,9.0,0.0,Monday,11.64155289186503,,,
134,2016-11-08,5.0,0.0,Tuesday,10.442847629045042,,,
135,2016-11-09,14.0,0.0,Wednesday,8.970796724347785,,,
136,2016-11-10,5.0,0.0,Thursday,12.628407727752359,,,
137,2016-11-11,10.0,0.0,Friday,10.934380764990616,,,
138,2016-11-14,12.0,0.0,Monday,7.318001624782429,,,
139,2016-11-15,6.0,0.0,Tuesday,9.83860094676949,,,
140,2016-11-16,10.0,0.0,Wednesday,9.785684846122482,,,
141,2016-11-17,10.0,0.0,Thursday,9.553067709868934,,,
142,2016-11-18,14.0,0.0,Friday,11.922544607601576,,,
143,2016-11-21,13.0,0.0,Monday,9.162814747389639,,,
144,2016-11-22,10.0,0.0,Tuesday,10.25798508287092,,,
145,2016-11-23,10.0,1.0,Wednesday,11.549271556089156,,,
146,2016-11-24,10.0,0.0,Thursday,10.348558042607598,,,
147,2016-11-25,16.0,0.0,Friday,12.754571805153969,,,
148,2016-11-28,6.0,0.0,Monday,11.07905002966573,,,
