,visit_date,visitors,missing,visit_day_name,fitted,forecast,95_lower,95_upper
0,2017-01-05,11.0,0.0,Thursday,,,,
1,2017-01-06,11.0,0.0,Friday,,,,
2,2017-01-07,25.0,0.0,Saturday,,,,
3,2017-01-08,23.0,0.0,Sunday,,,,
4,2017-01-09,17.0,0.0,Monday,,,,
5,2017-01-10,14.0,0.0,Tuesday,,,,
6,2017-01-12,20.0,0.0,Thursday,,,,
7,2017-01-13,20.0,0.0,Friday,,,,
8,2017-01-14,30.0,0.0,Saturday,,,,
9,2017-01-15,42.0,0.0,Sunday,,,,
10,2017-01-16,12.0,0.0,Monday,,,,
11,2017-01-17,16.0,0.0,Tuesday,,,,
12,2017-01-19,13.0,0.0,Thursday,,,,
13,2017-01-20,15.0,0.0,Friday,,,,
14,2017-01-21,28.0,0.0,Saturday,,,,
15,2017-01-22,36.0,0.0,Sunday,,,,
16,2017-01-23,15.0,0.0,Monday,,,,
17,2017-01-24,15.0,0.0,Tuesday,,,,
18,2017-01-26,23.0,0.0,Thursday,,,,
19,2017-01-27,24.0,0.0,Friday,,,,
20,2017-01-28,36.0,0.0,Saturday,,,,
21,2017-01-29,40.0,0.0,Sunday,,,,
22,2017-01-30,26.0,0.0,Monday,,,,
23,2017-01-31,38.0,0.0,Tuesday,,,,
24,2017-02-02,19.0,0.0,Thursday,,,,
25,2017-02-03,18.0,0.0,Friday,,,,
26,2017-02-04,39.0,0.0,Saturday,,,,
27,2017-02-05,31.0,0.0,Sunday,,,,
28,2017-02-06,19.0,0.0,Monday,,,,
29,2017-02-07,28.0,0.0,Tuesday,,,,
30,2017-02-09,10.0,0.0,Thursday,,,,
31,2017-02-10,8.0,0.0,Friday,,,,
32,2017-02-11,40.0,0.0,Saturday,,,,
33,2017-02-12,36.0,0.0,Sunday,,,,
34,2017-02-13,11.0,0.0,Monday,,,,
35,2017-02-14,17.0,0.0,Tuesday,,,,
36,2017-02-16,18.0,0.0,Thursday,,,,
37,2017-02-17,19.0,0.0,Friday,,,,
38,2017-02-18,37.0,0.0,Saturday,,,,
39,2017-02-19,27.0,0.0,Sunday,,,,
40,2017-02-20,36.0,0.0,Monday,,,,
41,2017-02-21,25.0,0.0,Tuesday,,,,
42,2017-02-23,24.0,0.0,Thursday,,,,
43,2017-02-24,17.0,0.0,Friday,,,,
44,2017-02-25,45.0,0.0,Saturday,,,,
45,2017-02-26,48.0,0.0,Sunday,,,,
46,2017-02-27,17.0,0.0,Monday,,,,
47,2017-02-28,16.0,0.0,Tuesday,,,,
48,2017-03-02,15.0,0.0,Thursday,,,,
49,2017-03-03,18.0,0.0,Friday,,,,
50,2017-03-04,45.0,0.0,Saturday,,,,
51,2017-03-05,43.0,0.0,Sunday,,,,
52,2017-03-06,14.0,0.0,Monday,,,,
53,2017-03-07,13.0,0.0,Tuesday,,,,
54,2017-03-09,20.0,0.0,Thursday,,,,
55,2017-03-10,21.0,0.0,Friday,,,,
56,2017-03-11,33.0,0.0,Saturday,,,,
57,2017-03-12,33.0,0.0,Sunday,,,,
58,2017-03-13,23.0,0.0,Monday,,,,
59,2017-03-14,17.0,0.0,Tuesday,,,,
60,2017-03-16,16.0,0.0,Thursday,0.0,,,
61,2017-03-17,14.0,0.0,Friday,-3.1999756097681344,,,
62,2017-03-18,39.0,0.0,Saturday,-7.4999274825089195,,,
63,2017-03-19,31.0,0.0,Sunday,-22.999698423089654,,,
64,2017-03-20,30.0,0.0,Monday,-49.99900915526017,,,
65,2017-03-21,21.0,0.0,Tuesday,-129.99482567134143,,,
66,2017-03-23,18.0,0.0,Thursday,18.22928361719309,,,
67,2017-03-24,20.0,0.0,Friday,15.14374636532919,,,
68,2017-03-25,33.0,0.0,Saturday,40.98892397789358,,,
69,2017-03-26,30.0,0.0,Sunday,30.061578186836805,,,
70,2017-03-27,20.0,0.0,Monday,29.16424677553723,,,
71,2017-03-28,16.0,0.0,Tuesday,20.201577327455304,,,
72,2017-03-30,23.0,0.0,Thursday,17.623568069261555,,,
73,2017-03-31,26.0,0.0,Friday,17.872723435351276,,,
74,2017-04-01,39.0,0.0,Saturday,35.97930192790793,,,
75,2017-04-02,42.0,0.0,Sunday,30.118978171553337,,,
76,2017-04-03,12.0,0.0,Monday,24.423259731380828,,,
77,2017-04-04,22.0,0.0,Tuesday,18.151484751734635,,,
78,2017-04-06,25.0,0.0,Thursday,20.81753054692161,,,
79,2017-04-07,23.0,0.0,Friday,21.91242831343056,,,
80,2017-04-08,36.0,0.0,Saturday,37.70013149019938,,,
81,2017-04-09,24.0,0.0,Sunday,34.813308399331305,,,
82,2017-04-10,19.0,0.0,Monday,19.068246448973248,,,
83,2017-04-11,19.0,0.0,Tuesday,19.456503639347822,,,
84,2017-04-13,16.0,0.0,Thursday,21.929796644768693,,,
85,2017-04-14,23.0,0.0,Friday,21.66905916374918,,,
86,2017-04-15,43.0,0.0,Saturday,36.67836587764417,,,
87,2017-04-16,35.0,0.0,Sunday,31.474361336508668,,,
88,2017-04-17,21.0,0.0,Monday,19.21240181962765,,,
89,2017-04-18,22.0,1.0,Tuesday,19.48658262994606,,,
90,2017-04-20,24.0,0.0,Thursday,20.736307403672217,,,
91,2017-04-21,32.0,0.0,Friday,22.518071107444428,,,
92,2017-04-22,36.0,0.0,Saturday,38.93768941778072,,,
